item_id,brand,corner,category,price
P4129650005910,톰보이토탈,토탈,핸드백,80100
P6123920003000,영에이지현금,임대슈즈,패션슈즈,83000
P6141200006000,비체,보석,악세사리,145000
P4239750013076,보티첼리행사,엘레강스,엘레강스캐쥬얼,351500
P4300502019980,지오지아(신),캐릭터,캐쥬얼,19000
P4539350056920,조양자용차용품,주방용품,식기,150000
P4528800051620,지오갤러리,장식액자,가구,50400
P4413980022900,스펜서,유아복,유아/완구,4800
P4520460042176,삼미,주방용품,식기,9900
P4520051043073,리갈욕실,욕실용품,식기,14000
P4400280023100,NUK,유아용품,유아/완구,8900
P4113620000800,용신양말,양말,섬유,20900
P4216172110010,마리끌레르,캐릭터,캐릭터캐쥬얼,134100
P4230010013081,린,캐릭터,캐릭터캐쥬얼,198000
P4131690203983,세라구두,여성구두,여성구두,59000
P4100393000300,발렌타인파시미나,스카프,명품시즌,360000
P4131390006900,모네,수입액세서리,장신구,59000
P4116480006975,올리비에,헤어액세사리,장신구,35000
P4107440001900,유진우산,"우산,장갑",명품시즌,20000
P4207710013088,제이알,부띠끄,디자이너부띠크,50000
