my_id,유형
A048868,택시사고
A042911,택시사고
A044752,택시사고
A000033,택시사고
A054480,택시사고
A066994,택시사고
A054403,택시사고
A000909,택시사고
A042231,택시사고
A012643,택시사고
A041301,택시사고
A025853,택시사고
A047196,택시사고
A017373,택시사고
A021654,택시사고
A031737,택시사고
A055465,택시사고
A065521,택시사고
A062380,택시사고
A015059,택시사고
A051894,택시사고
A057438,택시사고
A039304,택시사고
A035866,택시사고
A020591,택시사고
A049433,택시사고
A047450,택시사고
A034422,택시사고
A056329,택시사고
A072749,택시사고
A057071,택시사고
A029581,택시사고
A031924,택시사고
A011560,택시사고
A009732,택시사고
A042042,택시사고
A010339,택시사고
A028804,택시사고
A060090,택시사고
A040341,택시사고
A062233,택시사고
A052540,택시사고
A061115,택시사고
A072739,택시사고
A000329,택시사고
A033665,택시사고
A058856,택시사고
A019390,택시사고
A070569,택시사고
A019075,택시사고
A051165,택시사고
A046590,택시사고
A052063,택시사고
A048970,택시사고
A023813,택시사고
A027291,택시사고
A027084,택시사고
A070516,택시사고
A072956,택시사고
A073020,택시사고
A071447,택시사고
A028673,택시사고
A060398,택시사고
A013558,택시사고
A020324,택시사고
A007888,택시사고
A004713,택시사고
A072673,택시사고
A027449,택시사고
A071773,택시사고
A060638,택시사고
A059626,택시사고
A071174,택시사고
A049689,택시사고
A007674,택시사고
A049642,택시사고
A023800,택시사고
A066838,택시사고
A011897,택시사고
A026879,택시사고
A058020,택시사고
A017156,택시사고
A069457,택시사고
A022027,택시사고
A052852,택시사고
A062959,택시사고
A061663,택시사고
A039397,택시사고
A063514,택시사고
A050807,택시사고
A045000,택시사고
A045191,택시사고
A056077,택시사고
A009984,택시사고
A067847,택시사고
A022857,택시사고
A013262,택시사고
A054702,택시사고
A018556,택시사고
A043798,택시사고
A032066,택시사고
A060774,택시사고
A025573,택시사고
A046653,택시사고
A000044,택시사고
A037180,택시사고
A065920,택시사고
A066847,택시사고
A050461,택시사고
A003437,택시사고
A016847,택시사고
A000172,택시사고
A014595,택시사고
A002916,택시사고
